Date,Episode,Title,Directed by,Written by,Duration,Summary,Rating/Share,U.S. viewers,"Prod.
code"
11/18/99,06-08,The One with Ross's Teeth,Gary Halvorson,"Story by : Andrew Reich & Ted Cohen
Teleplay by : Perry Rein & Gigi McCreery",22,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,14.8/24,22.1 million,225558
11/25/99,06-09,The One Where Ross Got High,Kevin S. Bright,Gregory S. Malins,22,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,10.9/21,19.2 million,225559
12/16/99,06-10,The One with the Routine,Kevin S. Bright,Brian Boyle,22,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",15.0/25,22.4 million,225561
01/06/00,06-11,The One with the Apothecary Table,Kevin S. Bright,"Story by : Zachary Rosenblatt
Teleplay by : Brian Boyle",22,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",14.9/23,22.3 million,225560
01/13/00,06-12,The One with the Joke,Gary Halvorson,"Story by : Shana Goldberg-Meehan
Teleplay by : Andrew Reich & Ted Cohen",22,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",15.1/23,22.3 million,225562
02/03/00,06-13,The One with Rachel's Sister,Gary Halvorson,"Story by : Seth Kurland
Teleplay by : Sherry Bilsing-Graham & Ellen Plummer",22,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",15.6/24,24.1 million,225563
02/10/00,06-14,The One Where Chandler Can't Cry,Kevin S. Bright,Andrew Reich & Ted Cohen,22,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",15.4/24,23.8 million,225564
02/17/00,"06-15
06-16",The One That Could Have Been,Michael Lembeck,Gregory S. Malins & Adam ChaseDavid Crane & Marta Kauffman,60,"When Rachel hears Barry and Mindy are getting divorced, the gang wonder how different their lives could have been. The gang continue to think about how different their lives could have been.",16.7/26,20.7 million,225565225566
02/24/00,06-17,The One with Unagi,Gary Halvorson,"Story by : Zachary Rosenblatt
Teleplay by : Adam Chase",22,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,14.4/23,22.1 million,225568
03/09/00,06-18,The One Where Ross Dates a Student,Gary Halvorson,Seth Kurland,22,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,13.9/22,20.5 million,225567
